Entity,Maternal mortality ratio,GDP per capita,Population,Births attended by skilled health staff,"Mortality rate, neonatal","Fertility rate, total"
Afghanistan,638,2058.400146,35643420,53.40000153,3.820000076,4.632999897
Albania,15,12770.96387,2879361,,0.669999981,1.638000011
Algeria,112,11737.40137,41136548,,1.560000038,3.045000076
Angola,241,7310.896484,30208634,,2.920000076,5.599999905
Antigua and Barbuda,42,19840.2832,91133,100,0.39000001,1.998999953
Argentina,39,23597.11719,44054616,93.90000153,0.630000019,2.275000095
Armenia,26,12115.13965,2851929,,0.669999981,1.75
Australia,6,48398.55078,24590336,96.69999695,0.229999995,1.741000056
Austria,5,54172.98828,8797497,98.40000153,0.220000005,1.519999981
Azerbaijan,26,14121.40723,10071569,99.80000305,1.169999981,1.75
Bahamas,70,35917.75781,399027,,0.719999981,1.761999965
Bahrain,14,47709.77734,1456844,99.90000153,0.30999999,2.00999999
Bangladesh,173,4160.703125,161793968,67.80000305,2.089999962,2.062000036
Barbados,27,15789.04102,279199,,0.889999962,1.61500001
Belarus,2,18356.10156,9707874,,0.139999998,1.541000009
Belgium,5,50442.26953,11384491,,0.229999995,1.649999976
Belize,36,7193.634277,374702,94,0.910000038,2.345999956
Benin,397,3044.51709,11596786,,3.110000038,4.906000137
Bhutan,183,11142.47461,756130,97.19999695,1.7,1.993999958
Bolivia,155,8423.697266,11435535,99.5,1.519999981,2.77699995
Bosnia and Herzegovina,10,13753.83789,3440025,99.90000153,0.44000001,1.276000023
Botswana,144,15948.03223,2401848,99.80000305,2.3,2.910000086
Brazil,60,14524.61328,208504960,99.09999847,0.930000019,1.738999963
Brunei,31,60994.53125,430290,99.80000305,0.55999999,1.881000042
Bulgaria,10,21469.94531,7182430,,0.370000005,1.559999943
Burkina Faso,320,2044.386963,19835860,,2.729999924,5.270999908
Burundi,548,773.572876,11155592,85.09999847,2.239999962,5.501999855
Cambodia,160,3928.374023,15830694,,1.489999962,2.529999971
Cameroon,529,3665.11792,24393182,,2.8,4.638999939
Canada,10,48317.17578,36554344,97.90000153,0.34000001,1.539999962
Cape Verde,58,6643.179688,564959,92.40000153,1.019999981,2.309000015
Central African Republic,829,912.8030396,4996741,,4.1,4.796000004
Chad,1140,1587.032349,15085893,,3.45,5.846000195
Chile,13,24470.70313,18368582,99.80000305,0.49000001,1.677999973
China,29,14243.53223,1410275968,,0.45,1.682999969
Colombia,83,14171.32031,48351668,99.30000305,0.79000001,1.825000048
Comoros,273,3032.262207,761672,,3.129999924,4.275000095
Congo,378,4234.659668,5312347,,1.989999962,4.481999874
Costa Rica,27,20347.03516,4993849,98.69999695,0.60999999,1.771999955
Cote d'Ivoire,617,4830.750488,24848024,,3.5,4.703999996
Croatia,8,27154.08398,4192468,99.90000153,0.3,1.419999957
Cuba,36,8543,11336405,99.90000153,0.229999995,1.636999965
Cyprus,6,38287.96875,1208527,96,0.170000005,1.337000012
